timestamp,tweet_text,username,all_hashtags,location,followers_count,retweet_count,favorite_count
2022-12-12 19:14:30+00:00,b'Kerendia (#finerenone) Indications &amp; Starting Dose Regimen https://t.co/cC2ddAk7Bz #MedTwitter #CardioTwitter #NephTwitter #nephrology #diabetes #CKD #CardioEd #PharmaTwitter #internalmedicine @Bayer #ClinicalPearl #Bioinformatics #clinical #TwitteRx #MedTwitter #MedEd https://t.co/m94EFBNVID',b'ApoThera',"['finerenone', 'MedTwitter', 'CardioTwitter', 'NephTwitter', 'nephrology', 'diabetes', 'CKD', 'CardioEd', 'PharmaTwitter', 'internalmedicine', 'ClinicalPearl', 'Bioinformatics', 'clinical', 'TwitteRx', 'MedTwitter', 'MedEd']","Irvine, CA, USA",2143,3,3
2022-12-10 14:33:32+00:00,b'Finerenone receives Grade A Recommendation for treating CKD patients associated with type 2 diabetes: AACE update #ChronicKidneyDisease #CKD #type2diabetes #T2D #CKDpatients #AACEguideline #FDA #KERENDIA #Finerenone https://t.co/dctSaFt1c9',b'medicaldialogs',"['ChronicKidneyDisease', 'CKD', 'type2diabetes', 'T2D', 'CKDpatients', 'AACEguideline', 'FDA', 'KERENDIA', 'Finerenone']","New Delhi, India",9194,1,0
2022-12-13 13:45:22+00:00,"b'Read it. Great job especially sections on NAFLD, finerenone ,  and lipid  management https://t.co/s6ClpLjWs7'",b'docanoopmisra',[],"New Delhi, India",28766,0,6
2022-12-12 21:06:46+00:00,"b'#Finerenone reduced the risk of CV and kidney outcomes consistently across the spectrum of CKD in patients with T2D, irrespective of prevalent ASCVD. https://t.co/M8HR8MjFbr'",b'Manugrillo2',['Finerenone'],#Cedillo ,2194,0,1
2022-12-12 21:06:19+00:00,"b'#Finerenone reduced the risk of CV and kidney outcomes consistently across the spectrum of CKD in patients with T2D, irrespective of prevalent ASCVD.'",b'Manugrillo2',['Finerenone'],#Cedillo ,2194,0,0
2022-12-12 21:06:18+00:00,"b'#Finerenone efficacy in patients with chronic kidney disease, type 2 diabetes and atherosclerotic cardiovascular disease https://t.co/sh9idoZk4w'",b'Manugrillo2',['Finerenone'],#Cedillo ,2194,0,1
2022-12-12 20:18:57+00:00,"b'#Finerenone efficacy in patients with chronic KidneyDisease , type 2 diabetes &amp; atherosclerotic cardiovascular disease | European Heart Journal - Cardiovascular Pharmacotherapy.  https://t.co/fMAobvLlma https://t.co/fPS8ROPuns'",b'KerendiaEsp',['Finerenone'],,87,5,19
2022-12-12 19:14:30+00:00,b'Kerendia (#finerenone) Indications &amp; Starting Dose Regimen https://t.co/cC2ddAk7Bz #MedTwitter #CardioTwitter #NephTwitter #nephrology #diabetes #CKD #CardioEd #PharmaTwitter #internalmedicine @Bayer #ClinicalPearl #Bioinformatics #clinical #TwitteRx #MedTwitter #MedEd https://t.co/m94EFBNVID',b'ApoThera',"['finerenone', 'MedTwitter', 'CardioTwitter', 'NephTwitter', 'nephrology', 'diabetes', 'CKD', 'CardioEd', 'PharmaTwitter', 'internalmedicine', 'ClinicalPearl', 'Bioinformatics', 'clinical', 'TwitteRx', 'MedTwitter', 'MedEd']","Irvine, CA, USA",2143,3,3
2022-12-11 21:58:32+00:00,"b'Finerenone efficacy in patients with chronic #KidneyDisease , type 2 #diabetes &amp; atherosclerotic #cardiovascular disease | European Heart Journal - Cardiovascular Pharmacotherapy https://t.co/nfR44XtVFY #CardioTwitter #NephTwitter #diabetes #cardiologia #TwitteRx #Cardiology https://t.co/UUinrZ87XW'",b'ApoThera',"['KidneyDisease', 'diabetes', 'cardiovascular', 'CardioTwitter', 'NephTwitter', 'diabetes', 'cardiologia', 'TwitteRx', 'Cardiology']","Irvine, CA, USA",2143,1,2
2022-12-11 17:22:34+00:00,b'#Finerenone receives Grade A Recommendation for treating #CKD patients associated with type 2 diabetes: AACE upd... https://t.co/NFKbYjUwtT',b'Manugrillo2',"['Finerenone', 'CKD']",#Cedillo ,2194,0,0
2022-12-11 16:50:31+00:00,b'Finerenone receives Grade A Recommendation for treating CKD patients associated with type 2 diabetes: AACE upd... https://t.co/MJcJbKUHyd',b'KerendiaEsp',[],,87,2,1
2022-12-11 09:00:44+00:00,"b'\xf0\x9f\xa7\xaeFIDELIO-CKD vs CREDENCE \xf0\x9f\x91\x89HF risk was \xe2\xa4\xb5\xef\xb8\x8f by 26% with finerenone \xf0\x9f\x91\x89In CREDENCE, the cardiorenal composite end- point was \xe2\xa4\xb5\xef\xb8\x8f30% with canagliflozin \xf0\x9f\x92\xa1 canagliflozin and finerenone are similarly effective in T2D &amp; CKD and very high albuminuria in \xe2\xa4\xb5\xef\xb8\x8fthe risk of cardiorenal outcomes https://t.co/1oI2Aro0Ea'",b'ValleAlfonso',[],,17042,52,135
2022-12-10 20:21:20+00:00,b'https://t.co/z0LGym44oG #Finerenone the new entry',b'SABOURETCardio',['Finerenone'],"Paris, France",20145,0,14
2022-12-10 14:33:32+00:00,b'Finerenone receives Grade A Recommendation for treating CKD patients associated with type 2 diabetes: AACE update #ChronicKidneyDisease #CKD #type2diabetes #T2D #CKDpatients #AACEguideline #FDA #KERENDIA #Finerenone https://t.co/dctSaFt1c9',b'medicaldialogs',"['ChronicKidneyDisease', 'CKD', 'type2diabetes', 'T2D', 'CKDpatients', 'AACEguideline', 'FDA', 'KERENDIA', 'Finerenone']","New Delhi, India",9194,1,0
2022-12-09 20:05:05+00:00,b'@AgarwalRajivMD @P_Rossing @Filippatos This fits my clinical experience with finerenone. Much more potent BP lowering and diuretic effect than is mentioned in the main FIDELIO/FIGARO/FIDELITY papers.',b'IBressendorff',[],"Copenhagen, Denmark",190,0,1
2022-12-08 23:14:14+00:00,"b'@AgarwalRajivMD Dear professor , could you private message me your email address?  I have sent you an email but have not received a reply, maybe the email address is wrong.  I would like to invite you to participate in the Finerenone Academic Exchange Conference in China. thank you very much!'",b'rosalin12174654',[],,11,0,0
2022-12-08 20:31:45+00:00,"b'Despite a short half-life, changes in systolic BP with finerenone were persistent over 24 h. SBP dropped between 8 to 11 mm Hg with 10-20 mg doses of finerenone in T2D and CKD.  Clear evidence on hemodynamics on top of ACE/ARB. Open access:  https://t.co/e37Y1htNIz https://t.co/uM6WTgsHDW'",b'AgarwalRajivMD',[],,1527,14,26
2022-12-08 17:31:33+00:00,b'Join us now Effective handling of CLD progression in T2D: how finerenone Helps   https://t.co/dJy7jb7Upt #ESIM2022 #physicians #internist https://t.co/ojEQd2sP7d',b'ESIM_Society',"['ESIM2022', 'physicians', 'internist']",,88,0,0
2022-12-08 06:49:31+00:00,"b'In patients with TRH and chronic kidney disease compared with spironolactone with or without patiromer, #finerenone was associated with a lower SBP reduction and lower risk of hyperkalemia and treatment discontinuation. https://t.co/YlfYpgCcx5'",b'Manugrillo2',['finerenone'],#Cedillo ,2194,0,0
2022-12-08 06:49:08+00:00,"b'In patients with TRH and chronic kidney disease compared with spironolactone with or without patiromer, #finerenone was associated with a lower SBP reduction and lower risk of hyperkalemia and treatment discontinuation.'",b'Manugrillo2',['finerenone'],#Cedillo ,2194,0,0
2022-12-08 06:49:08+00:00,b'Comparative post hoc analysis of #finerenone and spironolactone in resistant hypertension in moderate-to-advanced chronic kidney disease https://t.co/oyn6yiYGpa',b'Manugrillo2',['finerenone'],#Cedillo ,2194,0,0
2022-12-08 06:35:10+00:00,"b'Indirect comparison of trials, but I think these data offer some indication of magnitude of expected BP lowering with #finerenone in resistant HTN.  https://t.co/GfxRKMpJVd https://t.co/nHe4CMLz8w'",b'KerendiaEsp',['finerenone'],,87,2,0
2022-12-08 06:31:24+00:00,b'An Observational Study Called FLAMINgO to Learn More About the Treatment Combination of #Finerenone and SGLT2 Inhibitors in People With Long-term Kidney Disease (Chronic Kidney Disease) Together With Type 2 Diabetes by Using Routine Medical Care Data\xe2\x80\xa6 https://t.co/UXJC9WZLc8',b'KerendiaEsp',['Finerenone'],,87,3,7
2022-12-08 02:59:09+00:00,"b'Notes and video lecture on: ""Finerenone for Diabetic kidney disease""   Video lecture: https://t.co/QsvbBPfyEx   Notes: https://t.co/gs99abPdKZ   Also available on the Notes in Endocrinology app for Android and iOS https://t.co/lDARcToESJ'",b'omlakhani',[],"Ahmedabad, India",11109,6,17
2022-12-07 14:36:02+00:00,b'New diabetes clinical trial: An Observational Study Called FLAMINgO to Learn More About the Treatment Combination of Finerenone and SGLT2 Inhibitors in People With Long-term Kidney Disease (Chronic Kidney Disease) Together With Type 2 Diabetes by Using R\xe2\x80\xa6 https://t.co/px24n0Fpet',b'ryankneessi',[],"Annapolis, MD",306,0,0
2022-12-07 14:33:38+00:00,b'New diabetes clinical trial: An Observational Study Called FLAMINgO to Learn More About the Treatment Combination of Finerenone and SGLT2 Inhibitors in People With Long-term Kidney Disease (Chronic Kidney Disease) Together With Type 2 Diabetes by Using R\xe2\x80\xa6 https://t.co/FrLbV0Y74O',b'PublicHealthRTs',[],United States,1771,0,0
2022-12-06 21:56:07+00:00,b'@SBdoc33 @brendonneuen @GlassockJ @hswapnil @mvaduganathan @DrJMLuther @ChristosArgyrop As it is with finerenone.',b'kidney_boy',[],"Detroit, MI",52736,0,4
2022-12-06 21:44:41+00:00,"b""@SBdoc33 @brendonneuen @GlassockJ @hswapnil @mvaduganathan @DrJMLuther @kidney_boy Protip: don't count on the pharmacy not refilling the discontinued ACEi when you put the patient on an ARB and finerenone.""",b'ChristosArgyrop',[],Land of Enchantment,18612,0,3
2022-12-06 20:06:08+00:00,b'Blood Pressure and Cardiorenal Outcomes With Finerenone in Chronic Kidney Disease in Type 2 Diabetes | Hypertension https://t.co/f5WcKxdQZL',b'gabolino43',[],Maracaibo,486,0,0
2022-12-06 17:18:13+00:00,b'EDITORS PICK: Blood Pressure and Cardiorenal Outcomes With Finerenone in Chronic Kidney Disease in Type 2 Diabetes @P_Rossing @Filippatos @BakrisGeorge @javedbutler1 https://t.co/GxLMTXkaXk https://t.co/p1RRJzMJtm',b'HyperAHA',[],,8416,3,8
2022-12-06 15:59:39+00:00,"b""@mvaduganathan @DrJMLuther @hswapnil @kidney_boy @brendonneuen Drug half life (finerenone less than spiro or eplerenone) plays a key role for both BP and anti HTN effect (don't ask me how I found out in the real world).""",b'ChristosArgyrop',[],Land of Enchantment,18612,0,1
2022-12-06 14:33:30+00:00,b'@hswapnil @kidney_boy @brendonneuen @ChristosArgyrop @mvaduganathan Otoh I do value finerenone for  1) proving that MRA reduces CKD progression and   2) providing an option with lower (but still some) hyperkalemia risk',b'DrJMLuther',[],"Nashville, TN",2592,0,5
2022-12-06 14:31:47+00:00,"b'@DrJMLuther @hswapnil @kidney_boy @brendonneuen @ChristosArgyrop Indirect comparison of trials, but I think these data offer some indication of magnitude of expected BP lowering with finerenone in resistant HTN.  https://t.co/9EUdhiw5wN'",b'mvaduganathan',[],"Cambridge, MA",5813,0,6
2022-12-06 14:29:17+00:00,b'@DrJMLuther @kidney_boy @hswapnil @brendonneuen @ChristosArgyrop Agree but steroidal MRAs have not shown to influence kidney disease progression when used in CV settings (HFrEF/post-MI) in any large RCT (EMPHASIS EPHESUS RALES TOPCAT)  TBD whether nsMRA (finerenone) or MR modulators (balcinrenone) are able to show kidney benefit in HF cohorts.',b'mvaduganathan',[],"Cambridge, MA",5813,1,2
2022-12-06 14:25:17+00:00,"b'@hswapnil @kidney_boy @brendonneuen @ChristosArgyrop @mvaduganathan As a resistant HTN specialist I value the ability of spironolactone to reduce BP dramatically- an effect that I haven\xe2\x80\x99t seen with finerenone.  When the #1 killer in CKD is CV disease, this seems important'",b'DrJMLuther',[],"Nashville, TN",2592,3,12
2022-12-06 14:07:10+00:00,"b'@hswapnil @kidney_boy @brendonneuen @ChristosArgyrop Strange conclusion- evidence that steroidal MRAs reduce proteinuria in diabetic nephropathy is clear.  Hard outcome data (CKD progression, DDT, etc) are lacking and for that Igive finerenone credit for actually doing the study to prove it.'",b'DrJMLuther',[],"Nashville, TN",2592,2,3
2022-12-05 13:40:29+00:00,b'\xe2\x80\x9c[T]he striking reduction in risk of pneumonia observed in both independent studies might suggest that the propagation of pulmonary infection into lobar or bronchial consolidation may be reduced by finerenone.\xe2\x80\x9d https://t.co/0zuTcc0kuO',b'AmeshAA',[],"Pittsburgh, Baltimore, NYC",39327,1,2
2022-12-04 18:31:28+00:00,b'4/ Finerenone now under investigation for HFpEF with endpoint of CV mortality and HF hospitalization - FINEARTS-HF Trial  #BackToHeart22 https://t.co/g7BSo3SPVw',b'CianPMcCarthy',['BackToHeart22'],Boston,2747,1,1
2022-12-06 00:57:21+00:00,"b'@Banitoto is selective antagonist of receptor (MR), which is activated by aldosterone and cortisol and regulates gene transcription. blocks MR-mediated sodium reabsorption and MR overactivation in both epithelial and nonepithelial tissues.contribute to fibrosis and inflammation.'",b'MedicinalWords0',[],المملكة العربية السعودية,1136,1,1
2022-12-04 20:22:09+00:00,"b'Hydrazine and nitrate should be considered for Afro-Caribbean patients with heart failure who are not responding to ACE-inhibitor, beta-blocker and aldosterone antagonist therapy.'",b'walinjom',[],London - United Kingdom  ,44208,45,232
2022-12-05 07:19:07+00:00,"b'@shivadas29 @kramer_holly @mcuban Good point-  we now have several interventions that can delay the need for KRT- Bicarbonate, SGLT2I, RASI, non-steroidal MRA (Diabetics).  They all should be used  more frequently, in the right patients and the right time.'",b'GlassockJ',[],"Laguna  Niguel, CA, USA",7586,0,1
